GROUP,"Artist Name, Last","Artist Name, First",Artist Alternate Name,Artist Year of Birth,Artist Year of Death,Artist Years of Activity,Artist Nationality,Authorized Vocabulary,URL/Database value (if applicable),Comment
Artist,Altichiero,,,,,,Italian,Getty ULAN,500018314,
Artist,Andrea di Bartolo,,,,,,Italian,Getty ULAN,500024770,
Artist,Andreoli,Giorgio,,,,,Italian,,,
Artist,Angelico,Beato,,,,,Italian,,,
Artist,Antonello da Messina,,,,,,Italian,,,
Artist,Antonio da Crevalcore,,,,,,Italian,,,
Artist,Archimboldo,Giuseppe,,,,,Italian,,,
Artist,Aspertini,Amico,,,,,Italian,,,
Artist,Baldassare degli Imbriachi,,,,,,Italian,,,
Artist,Barbieri,Giovanni Francesco,,,,,Italian,,,
Artist,Barocci,Federico,,,,,Italian,,,
Artist,Basaiti,Marco,,,,,Italian,,,
Artist,Bastiani,Lazzaro,,,,,Italian,,,
Artist,Batoni,Pompeo,,,,,Italian,,,
Artist,Beer,Jan de,,,,,Netherlandish,,,
Artist,Bellini,Giovanni,,,,,Italian,,,
Artist,Bellini,Jacopo,,,,,Italian,,,
Artist,Benedetto di Bindo Zoppo,,,,,,Italian,,,
Artist,Bergognone,Ambrogioer,,,,,Italian,,,
Artist,Bermejo,Bartolomé,,,,,Spanish,,,
Artist,Berto di Giovanni di Marco,,,,,,Italian,,,
Artist,Bicci di Lorenzo,,,,,,Italian,,,
Artist,Borgoña,Juan de,,,,,Burgundian,,,
Artist,Botticelli,Sandro,,,,,Italian,,,
Artist,Bregno,Andrea,,,,,Italian,,,
Artist,Bronzino,Agnolo,,,,,Italian,,,
Artist,Brunelleschi,Filippo,,,,,Italian,,,
Artist,Buonarroti,Michelangelo,,,,,Italian,,,
Artist,Buonconsiglio,Giovanni,,,,,Italian,,,
Artist,Campin,Robert,,,,,Flemish,,,
Artist,Canavesio,Giovanni,,,,,Italian,,,
Artist,Cardisco,Marco,,,,,Italian,,,
Artist,Cariani,Giovanni,,,,,Italian,,,
Artist,Cariani,,,,,,Italian,,,
Artist,Carnevale,Fra,,,,,Italian,,,
Artist,Carpaccio,Vittore,,,,,Italian,,,
Artist,Carracci,Lodovico,,,,,Italian,,,
Artist,Caselli,Cristoforo,,,,,Italian,,,
Artist,Cavallini,Pietro,,,,,Italian,,,
Artist,Chiavistelli,Jacopo,,,,,Italian,,,
Artist,Christus,Petrus,,,,,Netherlandish,,,
Artist,Cima da Conegliano,Giovanni Battista,,,,,Italian,,,
Artist,Cimabue,,,,,,Italian,,,
Artist,Circle of Juan de Borgoña,,,,,,Spanish,,,
Artist,Claeissins,Anthuenis,,,,,Flemish,,,
Artist,Claeissins I,Pieter,,,,,Netherlandish,,,
Artist,Claeissins II,Pieter,,,,,Flemish,,,
Artist,Claus de Werve,,,,,,Netherlandish,,,
Artist,"Coecke van Aelst, the elder",Pieter,,,,,Flemish,,,
Artist,Colantonio,Niccolò,,,,,Italian,,,
Artist,Coltellini,Michele di Luca dei,,,,,Italian,,,
Artist,Cornelisz. van Oostsanen,Jacob,,,,,Netherlandish,,,
Artist,Corso,Nicolò,,,,,Italian,,,
Artist,Cossa,Francesco del,,,,,Italian,,,
Artist,Cranach the Elder,Lucas,,,,,German,,,
Artist,Cranach the Younger,Lucas,,,,,German,,,
Artist,Crayer,Gaspar de,,,,,Flemish,,,
Artist,Crivelli,Taddeo,,,,,Italian,,,
Artist,Crivelli,Carlo,,,,,Italian,,,
Artist,Crivelli,Vittore,,,,,Italian,,,
Artist,Cruz,Diego de la,,,,,Spanish,,,
Artist,d'Alemagna,Giovanni,,,,,German,,,
Artist,David,Gerard,,,,,Netherlandish,,,
Artist,de Pitati,Bonifazio,,,,,Italian,,,
Artist,del Castro,Bartolomé,,,,,Spanish,,,
Artist,di Betto di Biagio,Bernardino,,,,,Italian,,,
Artist,di Nardo,Mariotto,,,,,Italian,,,
Artist,Domenico di Michelino,,,,,,Italian,,,
Artist,Dossi,Dosso,,,,,Italian,,,
Artist,Dürer,Albrecht,,,,,German,,,
Artist,Erfurter Werkstatt,,,,,,German,,,
Artist,Eyck,Jan van,,,,,Netherlandish,,,
Artist,Ferrari,Defendente,,,,,Italian,,,
Artist,Flandes the elder,Juan de,,,,,Netherlandish,,,
Artist,Florentine or Emilian School,,,,,,,,,
Artist,Fogolino,Marcello,,,,,Italian,,,
Artist,Follower of Bernard van Orley,,,,,,Flemish,,,
Artist,Follower of Fernando Gallegos,,,,,,Spanish,,,
Artist,Follower of Titian,,,,,,Italian,,,
Artist,Fontana,Lavinia,,,,,Italian,,,
Artist,Fontana,Prospero,,,,,Italian,,,
Artist,Foppa,Vincenzo,,,,,Italian,,,
Artist,Francesco di Giorgio Martini,,,,,,Italian,,,
Artist,Franchi,Rossello di Jacopo,,,,,Italian,,,
Artist,Francia,Francesco,,,,,Italian,,,
Artist,Frate da Deruta,,,,,,Italian,,,
Artist,Gaddi,Agnolo,,,,,Italian,,,
Artist,Gerini,Niccolò di Pietro,,,,,Italian,,,
Artist,Gheyn II,Jacques de,,,,,Netherlandish,,,
Artist,Ghiberti,Lorenzo,,,,,Italian,,,
Artist,Ghirlandaio,Domenico,,,,,Italian,,,
Artist,Ghirlandaio,Davide,,,,,Italian,,,
Artist,Giambologna,,,,,,Flemish,,,
Artist,Giotto,,,,,,Italian,,,
Artist,Giovanni dal Ponte,,,,,,Italian,,,
Artist,Giovanni di Paolo,,,,,,Italian,,,
Artist,Girolamo di Benvenuto,,,,,,Italian,,,
Artist,Goes,Hugo van der,,,,,Netherlandish,,,
Artist,Gossaert,Jan,,,,,Netherlandish,,,
Artist,Graf the Elder,Urs,,,,,Swiss,,,
Artist,Greco,El,,,,,Greek,,,
Artist,Guariento,,,,,,Italian,,,
Artist,Gutrecht II,Matthaus,,,,,Swiss,,,
Artist,Heem,Jan Davidsz. de,,,,,Netherlandish,,,
Artist,Heemskerck,Maerten van,,,,,Dutch,,,
Artist,Hemessen,Jan van,,,,,Netherlandish,,,
Artist,Holbein the Elder,Hans,,,,,German,,,
Artist,Holbein the Younger,Hans,,,,,German,,,
Artist,Jacobello del Fiore,,,,,,Italian,,,
Artist,Jacopo del Casentino,,,,,,Italian,,,
Artist,Koerbecke,Johann,,,,,German,,,
Artist,Lanino,Bernadino,,,,,Italian,,,
Artist,Lieferinxe,Josse,,,,,Netherlandish,,,
Artist,Lippi,Filippo,,,,,Italian,,,
Artist,Lippi,Filippino,,,,,Italian,,,
Artist,Lippo di Andrea,,,,,,Italian,,,
Artist,Lotto,Lorenzo,,,,,Italian,,,
Artist,Luca di Tommè,,,,,,Italian,,,
Artist,Luini,Bernardino,,,,,Italian,,,
Artist,Maestro di Pollitico di Ranghiasci,,,,,,Italian,,,
