 tate State / Province,Location Name,Location City,Location State/Province,Location Country,Location GIS Coordinates,Location URL,Authorized Vocabulary,URL/Database value (if applicable),Comment
Location,Abtei Marienstatt,Marienstatt,,Germany,"50.684734, 7.802771",,Getty CONA,700000192,Name is that used by Repository itself
Location,Alte Pinakothek,Munich,,Germany,"48.148456, 11.570049",,,,Most repositories are not in CONA.
Location,Art Institute of Chicago,"Chicago, IL",,USA,,,,,"In these cases, the name used by the institution is used"
Location,Badia Fiorentina,Florence,,Italy,,,,,
Location,Badisches Landesmuseum - Klostermuseum und Landesmuseum Wuerttemberg,Stuttgart,,Germany,,,,,
Location,Basilica della Santa Casa,Loreto,,Italy,,,,,
Location,Basilica di San Francesco,Assisi,,Italy,,,,,
Location,Basilica di San Marco,Venice,,Italy,,,,,
Location,Basilica di Santa Croce,Florence,,Italy,,,,,
Location,Basilica di Santa Trinita,Florence,,Italy,,,,,
Location,Basilica di Santo Spirito,Florence,,Italy,,,,,
Location,Basilica of Santa Maria Novella,Florence,,Italy,,,,,
Location,British Museum,London,,UK,,,,,
Location,Castello Sforzesco,Milan,,Italy,,,,,
Location,Cattedrale di San Martino,Lucca,,Italy,,,,,
Location,Chiesa di San Salvatore in Ognissanti,Florence,,Italy,,,,,
Location,Chiesa di San Zaccaria,Venice,,Italy,,,,,
Location,Chiesa di Santa Maria Nuova,Fano,,Italy,,,,,
Location,Cleveland Museum of Art,"Cleveland, OH",,USA,,,,,
Location,Colegiata de Santa María la Mayor,Toro,,Spain,,,,,
Location,Collegiata San Medardo,Arcevia,,Italy,,,,,
Location,Columbia Museum of Art,"Columbia, SC",,USA,,,,,
Location,Convento di San Domenico,Taggia,,Italy,,,,,
Location,Courtauld,London,,UK,,,,,
Location,de Young Museum,"San Francisco, CA",,USA,,,,,
Location,Denver Art Museum,"Denver,CO",,USA,,,,,
Location,Detroit Institute of Arts,"Detroit, MI",,USA,,,,,
Location,Deutsches Historisches Museum,Berlin,,Germany,,,,,
Location,Duomo di Orvieto,Orvieto,,Italy,,,,,
Location,El Paso Museum of Art,"El Paso, TX",,USA,,,,,
Location,Fari (Basilica di Santa Maria Gloriosa dei Frari),Venice,,Italy,,,,,
Location,Galleria Borghese,Rome,,Italy,,,,,
Location,Galleria dell'Accademia,Florence,,Italy,,,,,
Location,Galleria Palatina (Palazzo Pitti),Florence,,Italy,,,,,
Location,Galleria Sabauda,Turin,,Italy,,,,,
Location,Gallerie dell'Accademia,Venice,,Italy,,,,,
Location,Glasgow Art Gallery and Museum,Glasgow,,UK,,,,,
Location,Groeningemuseum,Bruges,,Belgium,,,,,
Location,Honolulu Academy of Arts,"Honolulu, HI",,USA,,,,,
Location,J. Paul Getty Museum,"Los Angeles, CA",,USA,,,,,
Location,Koninklijk Museum voor Schone Kunsten,Antwerp,,Belgium,,,,,
Location,Kunstgewerbemuseum,Berlin,,Germany,,,,,
Location,Kunsthistorisches Museum,Vienna,,Austria,,,,,
Location,Le Gallerie degli Uffizi,Florence,,Italy,,,,,
Location,Libreria Sansovino / Biblioteca Nazionale Marciana,Venice,,Italy,,,,,
Location,Mauritshuis,The Hague,,Netherlands,,,,,
Location,Metropolitan Museum of Art,"New York City, NY",,USA,,,,,
Location,Minneapolis Institute of Arts,"Minneapolis, MN",,USA,,,,,
Location,Montreal Museum of Fine Arts,Montreal,,Canada,,,,,
Location,Musee du Louvre,Paris,,France,,,,,
Location,Musée Du Petit Palais,Avignon,,France,,,,,
Location,Musées Royaux des Beaux-Arts,Brussels,,Belgium,,,,,
Location,Musei Vaticani,Rome,,Italy,,,,,
Location,Museo Civico Sansepolcro,Sansepolcro,,Italy,,,,,
Location,Museo Civico Villa Colloredo Mels,Recanati,,Italy,,,,,
Location,Museo Correr,Venice,,Italy,,,,,
Location,Museo Correr,Venice,,Italy,,,,,
Location,Museo di Palazzo Vecchio,Florence,,Italy,,,,,
Location,Museo e Real Bosco di Capodimonte,Naples,,Italy,,,,,
Location,Museo Horne,Florence,,Italy,,,,,
Location,Museo Nazionale di San Marco,Florence,,Italy,,,,,
Location,Museo Nazionale di San Marco,Florence,,Italy,,,,,
Location,Museo Ospedale degli Innocenti,Florence,,Italy,,,,,
Location,Museo Poldi Pezzoli,Milan,,Italy,,,,,
Location,Museu Nacional de Arte Antiga,Lisbon,,Portugal,,,,,
Location,Museum Boijmans van Beuningen,Rotterdam,,Netherlands,,,,,
Location,Museum of Fine Arts,"Boston, MA",,USA,,,,,
Location,Nasher Museum of Art at Duke University,"Durham, NC",,USA,,,,,
Location,National Gallery,London,,UK,,,,,
Location,National Gallery of Art,"Washington, DC",,USA,,,,,
Location,Nationalmuseum,Stockholm,,Sweden,,,,,
Location,North Carolina Museum of Art,"Raleigh, NC",,USA,,,,,
Location,Norton Simon Museum,"Pasadena, CA",,USA,,,,,
Location,Orsanmichele,Florence,,Italy,,,,,
Location,Palazzo Ducale,Venice,,Italy,,,,,
Location,Philadelphia Museum of Art,"Philadelphia, PA",,USA,"39.965340, -75.180495",,,,
Location,Philbrook Museum of Art,"Tulsa, OK",,USA,,,,,
Location,Phoenix Arts Museum,"Phoenix, AZ",,USA,,,,,
